iteration,radius_um,GaNzSpan_um,SapSpan_um,theta_deg,power,status
1,1.266e-06,2.0319999999999998e-06,5.0,44.5,3.9548825501153025e-13,success
2,1.7797435102462767e-06,2.516859574317932e-06,5.0,36.161602556705475,4.335624392534197e-13,success
3,1.2086924693733453e-06,1.5470466333180664e-06,5.0,75.51742057874799,1.0355062566014732e-14,success
4,8.703568576872348e-07,2.0560188452750443e-06,5.0,16.13986695650965,1.0640314342097504e-13,success
5,1.3840872183814645e-06,2.008831053927541e-06,5.0,55.397823604755104,2.1182881168715212e-14,success
6,5.32e-07,3e-06,5.0,89.0,4.822949655420246e-17,success
7,5.32e-07,1.064e-06,5.0,0.0,0.0,error: 'Failed to evaluate code'
8,2e-06,1.064e-06,5.0,89.0,2.5789382909783216e-15,success
9,2e-06,3e-06,5.0,0.0,1.063219863576412e-12,success
10,2e-06,1.064e-06,5.0,0.0,7.497986862609147e-13,success
11,5.32e-07,3e-06,5.0,0.0,9.19852750799492e-14,success
12,2e-06,3e-06,5.0,89.0,2.16974890635837e-15,success
13,5.32e-07,1.064e-06,5.0,89.0,9.558082465841899e-17,success
14,2e-06,1.064e-06,5.0,57.981202280152246,4.920265545937135e-13,success
15,2e-06,1.8264531440490452e-06,5.0,0.0,6.017909192541839e-13,success
16,1.2536136375705567e-06,3e-06,5.0,0.0,1.6247205609442218e-13,success
17,2e-06,1.8802445753259082e-06,5.0,89.0,7.601946588256208e-16,success
18,5.32e-07,3e-06,5.0,55.93994876605871,4.583861685248177e-14,success
19,1.138017859366968e-06,1.064e-06,5.0,89.0,5.951582808106932e-16,success
20,5.32e-07,2.028813491617577e-06,5.0,0.0,1.026411545145333e-13,success
21,5.32e-07,1.9185929141016707e-06,5.0,89.0,2.433134886459824e-16,success
22,1.3606515382017712e-06,1.064e-06,5.0,0.0,6.533724181357409e-14,success
23,2e-06,3e-06,5.0,58.51140698626586,3.9021817162936854e-13,success
24,1.509383434246989e-06,3e-06,5.0,89.0,1.2289415844480876e-15,success
25,5.32e-07,1.064e-06,5.0,36.25792285435819,7.668026065174464e-13,success
26,1.414918664410913e-06,1.6824614685852546e-06,5.0,0.0,1.2399517888421783e-13,success
27,5.32e-07,3e-06,5.0,28.49829290355954,0.0,error: 'Failed to evaluate code'
28,1.043244006984003e-06,3e-06,5.0,89.0,1.4253793285034072e-16,success
29,2e-06,3e-06,5.0,0.3725467222639344,1.0593991908760905e-12,success
30,5.32e-07,1.6271456996594604e-06,5.0,70.80824452295282,0.0,"error: ""Can not find result 'power' in the result provider 'GaNDFT2'"""

New data:
iteration,radius_um,GaNzSpan_um,SapSpan_um,theta_deg,power,status
iteration,radius_um,GaNzSpan_um,SapSpan_um,theta_deg,power,status
1,1.266e-06,2.0319999999999998e-06,5.0,44.5,3.9548825501153025e-13,success
2,1.2287562686204908e-06,2.731433856964111e-06,5.0,4.696017749607563,3.059385419339e-13,success
3,1.365309000443667e-06,1.5763517409265042e-06,5.0,48.619990029372275,1.7177383542615341e-12,success
4,1.9984884632304313e-06,2.115180073276162e-06,5.0,42.008873973973095,2.6518312598069787e-13,success
5,6.663240140005946e-07,1.2246059771776201e-06,5.0,88.49700248520821,4.252464760874076e-17,success
6,5.32e-07,3e-06,5.0,89.0,4.8229479043362744e-17,success
7,5.32e-07,1.064e-06,5.0,0.0,1.3186445852424565e-13,success
8,2e-06,1.064e-06,5.0,89.0,3.3540688673290545e-15,success
9,2e-06,3e-06,5.0,0.0,3.957230206759145e-13,success
iteration,radius_um,GaNzSpan_um,SapSpan_um,theta_deg,power,status
1,1.266e-06,2.0319999999999998e-06,5.0,44.5,3.9548825501153025e-13,success
2,1.3214780831336976e-06,2.030328855514526e-06,5.0,39.66091740131378,2.089559971620017e-13,success
3,1.1610146094597876e-06,2.940530190631747e-06,5.0,81.72732646949589,5.0399235666402495e-15,success
4,5.761830034703017e-07,1.2296366080343722e-06,5.0,2.552153759635985,1.232617181070308e-13,success
iteration,radius_um,GaNzSpan_um,SapSpan_um,theta_deg,power,status
iteration,radius_um,GaNzSpan_um,SapSpan_um,theta_deg,power,status
1,1.266e-06,2.0319999999999998e-06,5.0,44.5,0.0,"error: float() argument must be a string or a real number, not 'tuple'"
iteration,radius_um,GaNzSpan_um,SapSpan_um,theta_deg,power,status
1,1.266e-06,2.0319999999999998e-06,5.0,44.5,1.4884643730370998e-13,success
2,1.8264735565185544e-06,1.1712081969976426e-06,5.0,23.991811603307724,6.076861479099197e-14,success
