iteration,AlNxSpan_um,AlNySpan_um,AlNzSpan_um,DFTz_um,theta_deg,power,status
1,0.821,0.821,0.821,0.0,40.0,0.06019868174801524,success
2,0.819,1.313,0.762,-0.119,50.1,0.05065123882313993,success
3,0.948,0.571,1.4,0.025,32.8,0.08808300544783243,success
6,0.97,0.345,1.46,0.382,44.6,0.028779248064096964,success
7,1.161,1.007,1.46,-0.035,20.7,0.08272769145013527,success
8,0.452,0.182,1.46,-0.078,29.1,0.07299396113416806,success
9,1.46,0.274,1.46,-0.027,48.8,0.015314897113650933,success
10,0.834,0.931,1.46,-0.025,25.6,0.22640132996618673,success
11,0.778,1.006,1.46,-0.111,20.1,0.12297248701756525,success
12,0.669,1.021,1.46,0.056,26.3,0.19059474790273478,success
13,0.895,1.438,1.46,-0.083,26.0,0.3626530195144178,success
14,0.928,1.46,1.46,-0.181,28.3,0.26115269142990866,success
15,0.991,1.46,1.46,-0.106,25.2,0.09573921643415384,success
16,0.35,1.46,1.46,-0.109,28.5,1.4014190220178677,success
17,0.358,1.46,1.46,0.419,31.8,0.28405113339887234,success
18,0.332,1.46,1.46,-0.201,27.7,1.2081763769196465,success
19,0.381,1.46,1.46,-0.062,39.8,0.10194986470868425,success
20,0.316,1.46,1.46,-0.03,27.6,0.2769500201750303,success
21,0.35,1.46,1.46,-0.143,28.4,1.3478068098228537,success
22,0.352,1.46,1.46,-0.137,25.6,1.6000833484784898,success
23,0.231,1.46,1.46,-0.14,22.8,0.1045862993624877,success
24,0.35,1.46,1.46,-0.232,22.0,1.0572513395485297,success
25,0.355,1.46,1.332,-0.103,23.8,1.4792551355258319,success
26,0.353,1.141,1.347,-0.11,25.8,0.15474141013850076,success
27,0.352,1.46,1.029,-0.131,26.0,0.6069266686405301,success
28,0.353,1.46,1.46,-0.107,23.4,1.2290358846560354,success
29,0.35,1.46,1.376,-0.296,26.0,1.0579482735569248,success
30,0.353,1.46,1.37,-0.133,25.9,1.6901426682507337,success
31,0.368,1.46,1.364,-0.103,26.2,1.1165307442806358,success
32,0.892,1.137,1.46,-0.157,28.7,0.23620170984141095,success
33,0.365,1.176,1.46,0.276,36.9,0.14612667502671256,success
34,0.898,1.382,1.411,0.081,34.6,0.7393884359645121,success
35,0.874,1.448,1.454,-0.116,35.8,0.22788606017415317,success
36,0.909,1.343,1.115,0.087,30.6,0.27455485360600773,success
37,0.345,1.46,1.355,-0.144,25.5,2.0419825923541257,success
38,0.934,1.253,1.46,0.032,37.0,0.07769694850655944,success
39,0.34,1.46,1.308,-0.161,20.0,0.6148242309862844,success
40,0.871,1.46,1.46,0.203,30.9,0.31351582774845854,success
41,0.887,1.46,1.233,0.196,38.3,0.8601297739329129,success
42,0.868,1.256,1.295,0.172,37.2,0.3140714920264205,success
43,0.338,1.46,1.321,-0.153,25.2,1.3326931043931602,success
44,0.911,1.46,1.46,0.296,38.2,0.24325379767937746,success
45,0.348,1.46,1.358,-0.153,26.4,1.7986814840773808,success
46,0.903,1.46,1.136,0.021,41.3,0.7460636952290024,success
47,0.88,1.46,1.401,0.101,45.1,0.11126547999379072,success
48,0.896,1.46,0.878,0.207,40.2,0.167829317562274,success
49,0.348,1.409,1.367,-0.147,26.1,1.3746065881001068,success
50,0.347,1.46,1.339,-0.104,26.6,1.7254458594329756,success
