iteration,x1_um,x2_um,x3_um,y1_um,y2_um,y3_um,power,status
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0694775767808811e-15,success
2,0.41576976776123065,-0.6986648559570313,-1.39582257270813,-0.7465754508972169,-1.4235619068145753,-0.3448283195495605,7.275542136839171e-14,success
3,-1.6,0.2568218878593763,-1.6,-1.6,1.4600290105509859,0.6747591027693223,1.0595401734413273e-13,success
4,1.6,0.5607702173309819,1.6,0.05924804733896446,1.6,-1.6,3.179334982999408e-13,success
5,1.6,0.6059942080145668,1.6,0.2586748577782201,1.5888732667216425,-1.6,2.7026436901179933e-13,success
6,1.6,0.5035092921680636,1.6,-0.19333467750779001,1.6,-1.6,1.8201643728850236e-13,success
7,1.1779596801100412,0.5760514030834857,1.6,0.10495317291275935,1.6,-1.6,3.791470333498053e-14,success
8,1.6,0.7392059023754858,0.34168288697987814,0.09442264064880716,1.3179880772656147,-0.50676799115836,1.9881625042979498e-13,success
9,1.6,-0.8577312712635455,1.6,0.09708056898088556,1.6,-1.6,4.153721635704903e-13,success
10,1.6,-1.047377062358681,1.6,0.10272876904290465,-0.25478048536255143,-1.6,1.5421460872242595e-13,success
11,1.6,-1.2854723777681152,1.6,0.10325702144937264,1.6,-1.6,3.297813513672774e-13,success
12,1.6,-0.42006017655034766,1.6,0.10230321601941689,1.6,-1.6,1.5678823100660346e-13,success
13,1.6,-0.9666801108120731,1.6,0.09627996776146693,1.6,-1.6,3.0995121906442244e-13,success
14,1.6,-0.8839451087686705,1.6,0.09686610888774148,1.6,-1.6,4.15760212651367e-13,success
15,1.6,-0.8720184119242517,-1.6,-1.6,1.6,1.6,9.181968294528247e-14,success
16,1.6,-0.872429668085732,1.6,0.415531813057354,1.6,-1.6,2.2652007634848135e-13,success
17,1.6,-0.8683840118317788,1.6,-0.022321311705622567,1.6,-1.6,3.0187605898301814e-13,success
18,1.6,-0.9706508028525218,0.699077970822789,0.12380549401354936,1.6,-1.4080173096814046,6.172560147843273e-13,success
19,1.6,-1.0084209332430116,0.5172699406527984,-0.012010645314533391,1.6,-1.3743459126196829,4.406787279202075e-13,success
20,1.6,-1.01157056472604,0.8278553882716649,-0.716898269669056,1.6,-1.4507572259692405,6.868548891203454e-13,success
21,1.6,-1.0125124033848993,0.9685202198637118,-0.9055308498628235,1.6,-1.4701097201915292,3.631406079024388e-13,success
22,1.6,-1.584639320773314,0.7056637136038787,-0.10992520917304878,1.6,-1.6,3.385686909241616e-13,success
23,1.6,-1.012358712170248,0.6584130254877251,-0.9709704090257171,1.6,0.6398041959015756,5.407935415272874e-14,success
24,1.6,-0.9725016532359793,0.4593764567296319,-1.3582535615401365,1.6,-1.6,3.828039155504496e-13,success
25,1.2882246160997222,-1.018946199036059,0.7139102992385229,-0.1827416618006247,1.6,-1.6,6.716716467973729e-13,success
26,0.9783530370142344,-0.9763051140393889,0.7656834456300997,-0.30355414881052084,1.6,-1.6,3.2005992015195406e-13,success
27,1.4593095782082888,-0.9921177069320194,0.7059559801872315,-0.24196863511369937,1.6,-1.6,4.2889249926534465e-13,success
28,1.6,-1.0462726215727502,0.5871663622599266,0.46898984957577944,1.6,-1.6,6.783017599286063e-13,success
29,1.6,-1.025894856954639,0.5561772594754534,1.315922178157018,1.6,-1.6,6.392974628390417e-13,success
30,1.6,-0.8463355580388089,0.3924322230565419,1.5424789542463677,1.6,-1.6,1.130413063728852e-12,success
31,1.6,-0.6713528054690795,0.10701454697339467,1.6,1.6,-1.6,8.703785612105563e-13,success
32,1.6,-0.8848324914813152,-0.03190883565904443,1.6,1.6,-1.6,7.361316450332868e-13,success
33,1.6,-0.5535359940175218,0.37308946644366436,1.6,1.6,-1.6,9.497315639815666e-13,success
34,1.6,-0.5595481657348603,0.313638350379342,1.6,0.46705921153165736,-1.6,4.022663420029263e-13,success
35,0.9284341623870285,-0.5100429585106915,0.21903453630527125,1.6,1.6,-1.6,3.28114060858166e-13,success
36,1.6,-0.6133281794965639,0.35493300298645447,1.6,1.6,-1.1518477715915232,3.113907115851929e-13,success
37,1.6,-0.3514597623596866,0.21265513350143944,1.6,1.6,-1.6,5.197753659204219e-13,success
38,1.6,-0.7787474765616061,0.45755218743886317,1.6,1.6,-1.6,7.639391818870307e-13,success
39,1.6,1.6,1.6,-0.13398545704945114,1.6,-1.2049424184455964,1.0704585165359837e-15,success
40,1.6,-1.3266132733333555,0.12037729881120666,1.6,0.40197726387690763,-1.6,3.7292170108600935e-13,success
41,1.6,-0.8615612567877116,0.2586916553539424,1.6,1.6,-1.6,1.1902482870012145e-12,success
42,1.6,-1.0452615116685808,-1.6,1.6,1.6,-1.6,5.657854017552712e-13,success
43,1.6,0.8583546867570898,-1.357553711364878,-0.9468445650012505,1.6,-1.6,5.540027148026766e-13,success
44,1.6,-1.6,-0.13732965719692694,1.6,1.6,-1.6,3.4774065250538615e-13,success
45,1.6,-0.0017493309270980092,-1.6,-1.4611447725525983,1.6,-1.6,4.161552229579215e-13,success
46,1.6,0.7723579525511661,-1.6,-1.6,-0.2996249450154775,-1.6,9.535392902454356e-14,success
47,0.8008571636223238,1.417156820143833,-1.6,1.6,1.6,-1.6,7.61948261479528e-14,success
48,1.6,-0.7967141632432375,-0.2587500231082386,1.6,1.6,-1.6,8.094780452031216e-13,success
49,1.6,1.6,1.6,1.6,-1.6,1.6,1.0707957266667784e-15,success
50,1.6,0.4566138743241475,-0.8624754149608357,1.6,1.6,-1.6,3.590251568263868e-13,success
